,Game,Popularity,Views,Channels
0,Call of Duty: Black Ops 4,143142,140209,1214
1,Fortnite,113518,111247,8255
2,League of Legends,65357,63898,2077
3,IRL,46393,47307,763
4,Marvel's Spider-Man,36483,35983,1821
5,World of Warcraft,35520,34939,1977
6,Hearthstone,30228,30935,167
7,Overwatch,28450,27859,1420
8,PLAYERUNKNOWN'S BATTLEGROUNDS,25653,25093,1247
9,Destiny 2,22803,20909,1795


0,League of Legends,128301,130466,2274
1,Fortnite,124753,126233,7939
2,Call of Duty: Black Ops 4,82143,81975,594
3,Dota 2,77499,78701,840
4,World of Warcraft,74522,73255,1726
5,IRL,52188,52680,975
6,PLAYERUNKNOWN'S BATTLEGROUNDS,52372,50592,1674
7,Marvel's Spider-Man,44418,43801,1280
8,Hearthstone,42155,41423,301
9,Casino,38884,38455,101


0,Call of Duty: Black Ops 4,128487,166255,764
1,Fortnite,162393,131347,9474
2,League of Legends,124791,117694,2482
3,World of Warcraft,91206,93573,2290
4,Dota 2,82693,84141,927
5,IRL,65506,67157,1058
6,PLAYERUNKNOWN'S BATTLEGROUNDS,50522,48965,1763
7,Hearthstone,36492,35454,306
8,Destiny 2,32764,33501,906
9,Marvel's Spider-Man,32417,32983,1389


0,Fortnite,183771,187007,10005
1,World of Warcraft,114856,118703,3165
2,League of Legends,118990,118629,2755
3,Call of Duty: Black Ops 4,122650,112737,901
4,Dota 2,98999,100241,912
5,IRL,56423,55165,1065
6,PLAYERUNKNOWN'S BATTLEGROUNDS,46331,46484,1924
7,Marvel's Spider-Man,40365,40552,1629
8,Destiny 2,40274,40107,1513
9,Hearthstone,37092,37447,312


0,Fortnite,193190,188777,10763
1,Call of Duty: Black Ops 4,148311,146154,971
2,League of Legends,118336,117473,2694
3,World of Warcraft,109437,108558,3210
4,Dota 2,84346,82931,852
5,IRL,49976,48963,1062
6,PLAYERUNKNOWN'S BATTLEGROUNDS,43689,43142,1846
7,Marvel's Spider-Man,41607,41300,1677
8,Hearthstone,38564,39649,310
9,Destiny 2,36713,35211,1768


0,Fortnite,168369,166337,11414
1,Call of Duty: Black Ops 4,146793,148773,957
2,League of Legends,123491,121148,2557
3,World of Warcraft,111455,110953,2751
4,Dota 2,71028,70990,712
5,IRL,62656,61564,982
6,Marvel's Spider-Man,41409,41155,1653
7,Hearthstone,41839,40296,278
8,Counter-Strike: Global Offensive,34372,34309,1410
9,Destiny 2,32351,33404,1826


0,Fortnite,145321,143678,13574
1,Call of Duty: Black Ops 4,98140,96090,1092
2,League of Legends,87569,85432,2373
3,World of Warcraft,85284,84251,2134
4,IRL,56429,58490,897
5,Dota 2,35795,43994,459
6,Destiny 2,37039,37530,2021
7,Overwatch,31867,31502,1461
8,Hearthstone,29484,29578,209
9,PLAYERUNKNOWN'S BATTLEGROUNDS,26086,29257,1343

